node,PhysiqueOT,ActuatorOT,SensorOT,CyberOT,MissionOT,SoftwareIT,HardwareIT,CyberIT,MissionIT,EndUsers,Users,Operators,MissionPP
ActiveDirectoryIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910156039064482,0.0166039378036115,0.0,0.0,0.0,0.0
DataBaseIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910156039064482,0.0166039378036115,0.0,0.0,0.0,0.0
DisjoncteurLigneBus,0.0,0.0264436046119004,0.0,0.0368886638818115,0.2752000001189807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
DisjoncteurTransformateur,0.0,0.0264436046119004,0.0,0.0553329958227172,0.4235219830729078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
DistriMngmtSyst,0.0,0.0,0.0,0.0851845862470016,0.0,0.0,0.0,0.0,0.079467966571152,0.0,0.0,0.0,0.0
DomainNameSystOT,0.0,0.0,0.0,0.0851845862470016,0.0,0.0,0.0,0.0,0.079467966571152,0.0,0.0,0.0,0.0
EndUsers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EnsembleDeCapteursBusE,0.0,0.0,0.5,0.0,0.0164708913894157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
EnsembleDeCapteursBusS,0.0,0.0,0.5,0.0,0.0175010887111858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EnsembleDeCapteursLigneBus,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
EnsembleDeCapteursTransformateur,0.0,0.0,0.5,0.0,0.0349417138146201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
EnsembleIedBusE,0.0,0.0264436046119004,0.0,0.0490950914577685,0.2877356455329709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224922691080254
