node,PhysiqueOT,ActuatorOT,SensorOT,SoftwareIT,HardwareIT,EndUsers,Users,Operators
ActiveDirectoryIT,0.0,0.0,0.0,0.1017543859649122,0.0952380952380952,0.0,0.0,0.0
DataBaseIT,0.0,0.0,0.0,0.1017543859649122,0.0952380952380952,0.0,0.0,0.0
DisjoncteurLigneBus,0.3066666666666666,0.4642857142857143,0.55,0.0307017543859649,0.0492063492063492,0.0,0.0,1.0
DisjoncteurTransformateur,0.3566666666666666,0.4166666666666666,0.55,0.0307017543859649,0.0492063492063492,0.0,0.0,1.0
DistriMngmtSyst,0.0,0.0,0.0,0.1324561403508772,0.1420634920634921,0.0,0.0,0.0
DomainNameSystOT,0.0,0.0,0.0,0.1324561403508772,0.142063492063492,0.0,0.0,0.0
EndUsers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EnsembleDeCapteursBusE,0.1566666666666666,0.3452380952380952,0.1666666666666666,0.0350877192982456,0.0666666666666666,0.0,0.0,0.3333333333333333
EnsembleDeCapteursBusS,0.1466666666666666,0.3214285714285714,0.2083333333333333,0.0350877192982456,0.0666666666666666,0.0,0.0,0.3333333333333333
EnsembleDeCapteursLigneBus,0.1566666666666666,0.3392857142857143,0.125,0.0350877192982456,0.0666666666666666,0.0,0.0,0.3333333333333333
EnsembleDeCapteursTransformateur,0.2466666666666666,0.380952380952381,0.175,0.0350877192982456,0.0666666666666666,0.0,0.0,0.3333333333333333
EnsembleIedBusE,0.2166666666666666,0.4428571428571428,0.3333333333333333,0.0526315789473684,0.1126984126984127,0.0,0.0,0.5
EnsembleIedBusS,0.2,0.3833333333333333,0.2916666666666666,0.0526315789473684,0.1126984126984127,0.0,0.0,0.5
EnsembleIedLigneBus,0.2166666666666666,0.4309523809523808,0.2916666666666666,0.0526315789473684,0.1126984126984127,0.0,0.0,0.5
EnsembleIedTransformateur,0.4,0.5,0.3541666666666666,0.0526315789473684,0.1126984126984127,0.2,0.0,0.5
FirewallDCIT,0.0,0.0,0.0,0.2885964912280702,0.2357142857142857,0.0,0.2,0.0
FirewallDCITOT,0.0,0.0,0.0,0.3087719298245614,0.2873015873015873,0.0,0.2,0.0
FirewallDCOTSTA,0.0,0.0,0.0,0.1842105263157895,0.2396825396825396,0.0,0.0,0.0
FirewallIT,0.0,0.0,0.0,0.2605263157894738,0.2238095238095238,0.0,0.3,0.0
FirewallSOC,0.0,0.0,0.0,0.274561403508772,0.2238095238095238,0.0,0.2333333333333333,0.0
FirewallStation,0.1666666666666666,0.3369047619047619,0.175,0.0394736842105263,0.1746031746031746,0.0,0.0,0.25
InternalNetworkIT,0.0,0.0,0.0,0.1421052631578947,0.1936507936507936,0.0,0.25,0.0
ItGuy,0.0,0.0,0.0,0.0622807017543859,0.0666666666666666,0.0,0.0,0.0
JeuxDeBarreE,0.1166666666666666,0.3678571428571428,0.2916666666666666,0.0236842105263157,0.0277777777777777,0.0,0.0,0.5
JeuxDeBarreS,0.1399999999999999,0.1559523809523809,0.175,0.0210526315789473,0.0119047619047619,0.3333333333333333,0.0,0.2
LigneEntrée,0.1566666666666666,0.3678571428571429,0.2916666666666666,0.0236842105263157,0.0277777777777777,0.0,0.0,0.5
LigneSortie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LocalMonitoringSystem,0.1666666666666666,0.3369047619047619,0.175,0.0263157894736842,0.1444444444444444,0.0,0.0,0.25
MailIT,0.0,0.0,0.0,0.1017543859649122,0.0952380952380952,0.0,0.0,0.0
NetworkDCIT,0.0,0.0,0.0,0.2473684210526316,0.2952380952380952,0.0,0.0,0.0
NetworkOT,0.0,0.0,0.0,0.3263157894736843,0.4007936507936507,0.0,0.0,0.0
NetworkSOC,0.0,0.0,0.0,0.1947368421052631,0.2571428571428572,0.0,0.125,0.0
OperatorNetworkIT,0.0,0.0,0.0,0.1421052631578947,0.1936507936507936,0.0,0.25,0.0
RemoteTerminalUnit,0.2733333333333333,0.5595238095238095,0.2791666666666666,0.1157894736842105,0.0912698412698412,0.0,0.0,0.3333333333333333
RouteurOTEast,0.04,0.1428571428571428,0.0,0.1421052631578947,0.2039682539682539,0.0,0.0,0.0
RouteurOTNorth,0.0,0.0571428571428571,0.0,0.2087719298245614,0.2103174603174603,0.0,0.0,0.0
RouteurOTSud,0.13,0.1988095238095238,0.1,0.0982456140350877,0.2023809523809524,0.0,0.0,0.2
RouteurOTWest,0.04,0.1428571428571428,0.0,0.1421052631578947,0.2039682539682539,0.0,0.0,0.0
Scada,0.0,0.0,0.0,0.1324561403508772,0.142063492063492,0.0,0.0,0.0
ScadaOperator,0.0,0.0,0.0,0.0622807017543859,0.0666666666666666,0.0,0.0,0.0
SectionneurBus,0.29,0.2619047619047619,0.3958333333333333,0.0263157894736842,0.0373015873015872,0.0,0.0,0.3333333333333333
SectionneurLigneE,0.2566666666666666,0.4523809523809524,0.55,0.0307017543859649,0.0492063492063492,0.0,0.0,1.0
SectionneurLigneS,0.4166666666666667,0.4345238095238095,0.5833333333333333,0.0307017543859649,0.0492063492063492,0.25,0.0,1.0
SectionneurTransformateur,0.2566666666666666,0.4523809523809524,0.55,0.0307017543859649,0.0492063492063492,0.0,0.0,1.0
ServersActiveDirectoryDataCIT,0.0,0.0,0.0,0.1885964912280701,0.0714285714285714,0.0,0.0,0.0
ServersDatabaseDataCIT,0.0,0.0,0.0,0.1885964912280701,0.0714285714285714,0.0,0.0,0.0
ServersDmsDataCOT,0.0,0.0,0.0,0.2324561403508772,0.1444444444444444,0.0,0.0,0.0
ServersDnsDataCOT,0.0,0.0,0.0,0.2324561403508772,0.1444444444444444,0.0,0.0,0.0
ServersLogsDataCIT,0.0,0.0,0.0,0.1885964912280701,0.0714285714285714,0.0,0.0,0.0
ServersLogsSoc,0.0,0.0,0.0,0.1535087719298245,0.0476190476190476,0.0,0.0833333333333333,0.0
ServersMailDataCIT,0.0,0.0,0.0,0.1885964912280701,0.0714285714285714,0.0,0.0,0.0
ServersScadaDataCOT,0.0,0.0,0.0,0.2324561403508772,0.1444444444444444,0.0,0.0,0.0
ServersSiemSoc,0.0,0.0,0.0,0.1535087719298245,0.0476190476190476,0.0,0.0833333333333333,0.0
ServersTadDataCCOT,0.0,0.0,0.0,0.2324561403508772,0.1444444444444444,0.0,0.0,0.0
ServerslogsDataCOT,0.0,0.0,0.0,0.2324561403508772,0.1444444444444444,0.0,0.0,0.0
Siem,0.0,0.0,0.0,0.075438596491228,0.0793650793650793,0.0,0.0625,0.0
SocOperator,0.0,0.0,0.0,0.0885964912280701,0.0793650793650793,0.0,0.0,0.0
StockageLogsIT,0.0,0.0,0.0,0.1017543859649122,0.0952380952380952,0.0,0.0,0.0
StockageLogsOT,0.0,0.0,0.0,0.1324561403508772,0.142063492063492,0.0,0.0,0.0
StockageLogsSoc,0.0,0.0,0.0,0.075438596491228,0.0793650793650793,0.0,0.0625,0.0
SupportNetworkIT,0.0,0.0,0.0,0.1421052631578947,0.1936507936507936,0.0,0.25,0.0
TechnicienStation,0.4166666666666666,0.869047619047619,0.8125,0.043859649122807,0.1023809523809523,0.2,0.0,0.0
TerminalAccesDistant,0.0,0.0,0.0,0.1324561403508772,0.142063492063492,0.0,0.0,0.0
